iter	Passed	Remaining
0	3	3833
1	7	3782
2	11	3689
3	15	3636
4	18	3627
5	22	3585
6	26	3545
7	29	3540
8	33	3526
9	38	3646
10	42	3651
11	46	3656
12	50	3652
13	54	3655
14	57	3633
15	61	3608
16	64	3586
17	68	3604
18	72	3594
19	76	3582
20	79	3571
21	83	3577
22	87	3562
23	91	3549
24	94	3539
25	98	3535
26	102	3542
27	106	3546
28	109	3530
29	113	3524
30	117	3519
31	121	3520
32	125	3527
33	129	3531
34	133	3529
35	137	3532
36	141	3527
37	145	3527
38	149	3524
39	154	3555
40	159	3575
41	164	3595
42	168	3589
43	172	3583
44	176	3581
45	179	3568
46	183	3561
47	187	3571
48	192	3584
49	196	3572
50	199	3559
51	203	3552
52	206	3540
53	210	3531
54	213	3520
55	217	3512
56	221	3504
57	224	3498
58	229	3509
59	233	3501
60	237	3493
61	240	3484
62	243	3472
63	247	3462
64	251	3457
65	254	3453
66	258	3446
67	262	3441
68	266	3436
69	269	3431
70	273	3422
71	276	3412
72	280	3402
73	283	3394
74	287	3389
75	290	3381
76	294	3382
77	298	3375
78	301	3367
79	305	3362
80	309	3354
81	312	3350
82	317	3350
83	321	3355
84	325	3353
85	329	3348
86	333	3343
87	336	3338
88	340	3333
89	344	3334
90	348	3328
91	352	3323
92	355	3318
93	360	3319
94	364	3319
95	368	3315
96	372	3316
97	376	3312
98	380	3305
99	383	3302
100	387	3299
101	391	3292
102	394	3285
103	398	3280
104	403	3282
105	406	3277
106	410	3271
107	413	3265
108	417	3259
109	420	3252
110	424	3247
111	428	3241
112	431	3234
113	435	3231
114	439	3226
115	442	3222
116	446	3216
117	450	3213
118	454	3211
119	458	3207
120	461	3202
121	465	3197
122	469	3192
123	473	3193
124	477	3189
125	481	3184
126	484	3179
127	489	3178
128	492	3175
129	497	3175
130	501	3170
131	504	3165
132	508	3159
133	511	3154
134	516	3153
135	519	3149
136	523	3143
137	528	3145
138	531	3139
139	535	3134
140	538	3129
141	543	3131
142	547	3129
143	551	3124
144	555	3124
145	559	3119
146	563	3114
147	566	3109
148	570	3104
149	573	3099
150	577	3093
151	580	3088
152	584	3084
153	588	3078
154	591	3074
155	595	3069
156	598	3063
157	602	3057
158	605	3052
159	609	3047
160	613	3043
161	616	3037
162	620	3035
163	624	3031
164	628	3028
165	632	3023
166	635	3018
167	639	3014
168	642	3009
169	646	3004
170	651	3006
171	655	3001
172	658	2996
173	662	2991
174	665	2986
175	670	2985
176	675	2986
177	678	2981
178	682	2977
179	686	2973
180	689	2969
181	693	2964
182	697	2961
183	701	2958
184	705	2953
185	708	2948
186	712	2944
187	715	2939
188	719	2934
189	722	2929
190	726	2926
191	730	2921
192	733	2915
193	737	2911
194	741	2907
195	744	2903
196	748	2900
197	752	2895
198	756	2891
199	759	2887
200	763	2883
201	767	2878
202	770	2874
203	775	2873
204	778	2868
205	782	2863
206	786	2859
207	789	2855
208	793	2850
209	796	2845
210	800	2841
211	804	2836
212	807	2832
213	811	2828
214	814	2823
215	818	2819
216	822	2815
217	825	2811
218	829	2806
219	834	2808
220	839	2808
221	843	2804
222	847	2799
223	850	2795
224	855	2794
225	858	2789
226	862	2785
227	866	2781
228	870	2777
229	873	2773
230	877	2768
231	880	2763
232	884	2760
233	888	2756
234	892	2752
235	895	2748
236	899	2743
237	902	2739
238	906	2734
239	910	2730
240	913	2726
241	917	2721
242	920	2717
243	924	2712
244	929	2711
245	933	2710
246	937	2706
247	942	2705
248	945	2700
249	950	2698
250	954	2695
251	958	2691
252	961	2686
253	966	2685
254	969	2681
255	973	2677
256	977	2672
257	981	2671
258	985	2668
259	989	2664
260	993	2659
261	996	2655
262	1000	2651
263	1004	2647
264	1007	2643
265	1011	2638
266	1014	2634
267	1020	2635
268	1024	2630
269	1029	2630
270	1033	2628
271	1037	2624
272	1041	2621
273	1045	2618
274	1049	2614
275	1053	2609
276	1056	2605
277	1060	2601
278	1064	2597
279	1069	2597
280	1073	2594
281	1077	2591
282	1081	2587
283	1085	2584
284	1089	2579
285	1094	2578
286	1097	2574
287	1102	2573
288	1107	2571
289	1112	2569
290	1116	2567
291	1120	2563
292	1125	2562
293	1129	2558
294	1132	2554
295	1136	2549
296	1142	2549
297	1146	2545
298	1149	2541
299	1153	2538
300	1157	2533
301	1160	2529
302	1164	2525
303	1168	2522
304	1172	2517
305	1176	2513
306	1180	2511
307	1184	2507
308	1188	2503
309	1192	2500
310	1196	2496
311	1201	2494
312	1205	2491
313	1208	2487
314	1212	2483
315	1216	2478
316	1220	2476
317	1224	2471
318	1228	2468
319	1232	2464
320	1235	2460
321	1240	2458
322	1244	2453
323	1247	2449
324	1251	2445
325	1254	2440
326	1258	2437
327	1262	2433
328	1266	2428
329	1269	2424
330	1273	2419
331	1277	2415
332	1280	2411
333	1284	2407
334	1288	2404
335	1292	2401
336	1296	2396
337	1300	2392
338	1303	2388
339	1307	2384
340	1311	2379
341	1314	2376
342	1318	2371
343	1323	2370
344	1327	2366
345	1331	2362
346	1335	2359
347	1340	2357
348	1344	2354
349	1348	2350
350	1352	2346
351	1358	2346
352	1362	2342
353	1365	2337
354	1369	2333
355	1373	2330
356	1377	2326
357	1381	2322
358	1385	2319
359	1389	2315
360	1393	2312
361	1397	2308
362	1401	2305
363	1406	2302
364	1409	2298
365	1413	2294
366	1417	2290
367	1421	2286
368	1425	2282
369	1428	2278
370	1433	2275
371	1437	2272
372	1442	2270
373	1446	2266
374	1450	2262
375	1454	2258
376	1458	2254
377	1461	2250
